priority,audit_unit_id,query_id,model,method,raw_citation,parser_status,model_assisted_extraction_correct,model_assisted_law_name_correct,model_assisted_article_number_correct,model_assisted_resolution_correct,model_assisted_actually_resolvable,model_assisted_parser_error_type,model_assisted_short_reason,human_validation_required
high,63,398,qwen3_4b,direct,劳动合同法》第十七条,unresolved,no,no,yes,no,yes,citation_boundary_bracket_error,原文有可识别的法名+条号，但抽取边界丢失前缀/书名号或夹入多余书名号。,yes
high,64,839,qwen3_4b,direct,第五百六十五条,unresolved,yes,no,yes,no,yes,contextual_law_name_not_propagated,法名在同句或前文已明确，裸条号可唯一回指；parser 未传播上下文法名。,yes
high,65,410,qwen3_4b,direct,劳动合同法》第四十二条,unresolved,no,no,yes,no,yes,citation_boundary_bracket_error,原文有可识别的法名+条号，但抽取边界丢失前缀/书名号或夹入多余书名号。,yes
high,66,1461,qwen25_7b,dense,第二十七条,unresolved,yes,no,yes,no,yes,contextual_law_name_not_propagated,法名在同句或前文已明确，裸条号可唯一回指；parser 未传播上下文法名。,yes
high,67,1502,qwen3_4b,direct,第1165条,unresolved,yes,no,yes,no,yes,contextual_law_name_not_propagated,法名在同句或前文已明确，裸条号可唯一回指；parser 未传播上下文法名。,yes
high,68,770,qwen3_4b,direct,第四百四十一条,unresolved,yes,no,yes,no,yes,contextual_law_name_not_propagated,法名在同句或前文已明确，裸条号可唯一回指；parser 未传播上下文法名。,yes
high,69,1283,qwen3_4b,bm25,第七百五十四条,unresolved,yes,no,yes,no,yes,contextual_law_name_not_propagated,法名在同句或前文已明确，裸条号可唯一回指；parser 未传播上下文法名。,yes
high,70,566,qwen3_4b,hybrid,第五百七十九条,unresolved,yes,no,yes,no,yes,contextual_law_name_not_propagated,法名在同句或前文已明确，裸条号可唯一回指；parser 未传播上下文法名。,yes
high,71,1342,qwen3_4b,direct,第三十三条,unresolved,yes,no,yes,no,yes,contextual_law_name_not_propagated,法名在同句或前文已明确，裸条号可唯一回指；parser 未传播上下文法名。,yes
high,72,54,qwen3_4b,direct,民事诉讼法》第六十四条,unresolved,no,no,yes,no,yes,citation_boundary_bracket_error,原文有可识别的法名+条号，但抽取边界丢失前缀/书名号或夹入多余书名号。,yes
high,73,1374,qwen3_4b,direct,第九百六十一条,unresolved,yes,no,yes,no,yes,contextual_law_name_not_propagated,法名在同句或前文已明确，裸条号可唯一回指；parser 未传播上下文法名。,yes
high,74,1309,qwen3_4b,direct,第七百一十六条,unresolved,yes,no,yes,no,yes,contextual_law_name_not_propagated,法名在同句或前文已明确，裸条号可唯一回指；parser 未传播上下文法名。,yes
high,75,297,qwen3_4b,direct,第552条,unresolved,yes,no,yes,no,yes,contextual_law_name_not_propagated,法名在同句或前文已明确，裸条号可唯一回指；parser 未传播上下文法名。,yes
high,76,839,qwen3_4b,hybrid,第六十五条,unresolved,yes,no,yes,no,yes,contextual_law_name_not_propagated,法名在同句或前文已明确，裸条号可唯一回指；parser 未传播上下文法名。,yes
high,77,722,qwen3_4b,direct,第五百五十二条,unresolved,yes,no,yes,no,yes,contextual_law_name_not_propagated,法名在同句或前文已明确，裸条号可唯一回指；parser 未传播上下文法名。,yes
high,78,1433,qwen3_4b,hybrid,第六百六十三条,unresolved,yes,no,yes,no,yes,contextual_law_name_not_propagated,法名在同句或前文已明确，裸条号可唯一回指；parser 未传播上下文法名。,yes
high,79,916,qwen3_4b,hybrid,第78条,unresolved,yes,no,yes,no,yes,contextual_law_name_not_propagated,法名在同句或前文已明确，裸条号可唯一回指；parser 未传播上下文法名。,yes
medium,80,799,qwen3_4b,hybrid,第十条,unresolved,yes,yes,yes,yes,no,,全文只有裸条号且没有可唯一回指的规范名称；保持 unresolved 合理。,yes
